Tanggal;Jenis Pintu Masuk;Provinsi Pintu Masuk;Nama Pintu Masuk;Benua;Kebangsaan;Jumlah Wisatawan Mancanegara
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Malaysia;14802
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Filipina;7565
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Singapura;11671
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Thailand;2852
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Vietnam;6161
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Hong Kong;2
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;India;30241
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Jepang;16513
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Korea Selatan;23664
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Taiwan;11515
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Tiongkok;112841
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Timor Leste;1875
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Arab Saudi;3966
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Kuwait;309
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Mesir;1402
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Uni Emirat Arab;229
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Yaman;115
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Asia;Asia Lainnya;18417
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Eropa;Prancis;10224
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Eropa;Jerman;9662
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Eropa;Belanda;9714
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Eropa;Inggris;18721
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Eropa;Rusia;25848
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Eropa;Eropa Lainnya;45757
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Amerika;Amerika Serikat;20636
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Amerika;Kanada;6751
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Amerika;Brasil;1821
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Amerika;Meksiko;749
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Amerika;Amerika Lainnya;3183
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Oseania;Australia;103507
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Oseania;Selandia Baru;7134
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Oseania;Papua Nugini;28
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Oseania;Oseania Lainnya;135
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Afrika;Afrika Selatan;2995
31/01/2020;Pintu Udara;Bali;Bandara I Gusti Ngurah Rai;Afrika;Afrika Lainnya;2387
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Malaysia;19453
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Filipina;3515
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Singapura;14178
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Thailand;2967
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Vietnam;1087
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Hong Kong;1
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;India;7378
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Jepang;12463
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Korea Selatan;10785
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Taiwan;6596
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Tiongkok;27462
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Timor Leste;79
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Arab Saudi;16335
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Kuwait;246
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Mesir;431
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Uni Emirat Arab;201
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Yaman;758
31/01/2020;Pintu Udara;Banten;Bandara Soekarno-Hatta;Asia;Asia Lainnya;26826
