Date;Entry Point Type;Entry Point Province;Entry Point Name;Continent;Nationality;Foreign Tourist Total
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Malaysian;14802
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Filipino;7565
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Singaporean;11671
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Thai;2852
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Vietnamese;6161
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Hong Konger;2
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Indian;30241
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Japanese;16513
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;South Korean;23664
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Taiwanese;11515
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Chinese;112841
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Timorese;1875
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Saudi Arabian;3966
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Kuwaiti;309
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Egyptian;1402
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Emirati;229
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Yemeni;115
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Asia;Other Asian;18417
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Europe;French;10224
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Europe;German;9662
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Europe;Dutch;9714
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Europe;British;18721
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Europe;Russian;25848
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Europe;Other European;45757
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;America;American;20636
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;America;Canadian;6751
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;America;Brazilian;1821
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;America;Mexican;749
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;America;Other American;3183
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Oceania;Australian;103507
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Oceania;New Zealander;7134
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Oceania;Papua New Guinean;28
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Oceania;Other Oceanian;135
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Africa;South African;2995
31/01/2020;Air Entry Point;Bali;I Gusti Ngurah Rai Airport;Africa;Other African;2387
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Malaysian;19453
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Filipino;3515
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Singaporean;14178
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Thai;2967
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Vietnamese;1087
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Hong Konger;1
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Indian;7378
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Japanese;12463
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;South Korean;10785
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Taiwanese;6596
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Chinese;27462
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Timorese;79
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Saudi Arabian;16335
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Kuwaiti;246
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Egyptian;431
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Emirati;201
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Yemeni;758
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Asia;Other Asian;26826
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Europe;French;2267
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Europe;German;2284
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Europe;Dutch;2262
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Europe;British;3241
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Europe;Russian;755
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Europe;Other European;6803
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;America;American;7034
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;America;Canadian;1572
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;America;Brazilian;335
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;America;Mexican;84
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;America;Other American;599
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Oceania;Australian;6752
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Oceania;New Zealander;591
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Oceania;Papua New Guinean;15
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Oceania;Other Oceanian;28
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Africa;South African;247
31/01/2020;Air Entry Point;Banten;Soekarno-Hatta Airport;Africa;Other African;1163
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Malaysian;4603
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Filipino;158
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Singaporean;1873
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Thai;272
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Vietnamese;118
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Hong Konger;0
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Indian;406
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Japanese;347
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;South Korean;508
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Taiwanese;850
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Chinese;1784
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Timorese;9
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Saudi Arabian;48
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Kuwaiti;0
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Egyptian;8
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Emirati;2
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Yemeni;17
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Asia;Other Asian;3817
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Europe;French;156
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Europe;German;195
31/01/2020;Air Entry Point;Jawa Timur;Juanda Airport;Europe;Dutch;177
